source_file,project,sales_revenue,upholstery_revenue,total_income,cogs_direct,powder_coating,finish_dept_supplies,freight_delivery_cos,metal_dept_supplies,wood_dept_supplies,upholstery_cost,job_materials,supplies_materials_cogs,total_cogs,gross_profit,gross_margin_pct,hourly_costs,freight_delivery,shipping_delivery,car_truck_fuel,event_expenses,total_expenses,net_operating_income,net_income,net_margin_pct,labor_pct_of_revenue,materials_pct_of_revenue,quote_price,material_cost,labor_cost,delivery_cost,has_metal_work,has_wood_work,has_finishing,has_powder_coating,num_departments,labor_to_material_ratio
B10^MUnion^J^MLLC_Project^MProfitability^Mfor^MFogarty^MFinger^MArchitectures^M1100^MPeachtree^MLobby.txt,Fogarty Finger Architecture's 1100 Peachtree Lobby,51650.0,0.0,51650.0,6748.45,151.8,19.9,2.25,488.16,776.38,0.0,70.64,113.26,8300.2,43349.8,83.92991287512102,14411.21,322.14,499.66,0.0,0.0,15233.01,28116.79,28116.79,54.43715392061955,27.90166505324298,16.070087124878995,51650.0,8300.2,14411.21,824.05,1,1,1,1,4,1.7362485241319483
B10^MUnion^J^MLLC_Project^MProfitability^Mfor^MLevel^MDesigns^MAlexan^MKendall^MNorth (1).txt,Level Design's Alexan Kendall North,23000.0,14000.0,23000.0,913.48,160.74,1040.3,0.0,0.0,242.49,0.0,0.0,0.0,2357.01,20642.99,89.75213043478261,6629.96,0.0,0.0,0.0,0.0,6629.96,14013.03,14013.03,60.92621739130435,28.825913043478263,10.247869565217393,23000.0,2357.01,6629.96,0.0,0,1,1,1,3,2.8128688465471083
B10^MUnion^J^MLLC_Project^MProfitability^Mfor^MPixel^MDesigns^MAlexan^MCrafts.txt,Pixel Design's Alexan Crafts,45900.0,0.0,45900.0,11037.48,477.72,0.0,0.0,0.0,919.55,0.0,0.0,0.0,12434.75,33465.25,72.90904139433552,18934.16,0.0,200.0,113.86,27.67,19275.69,14189.56,14189.56,30.914074074074072,41.25089324618737,27.09095860566449,45900.0,12434.75,18934.16,200.0,0,1,0,1,2,1.5226811958422968
B10^MUnion^J^MLLC_Project^MProfitability^Mfor^MPixel^MDesigns^MAlexan^MGlenwood.txt,Pixel Design's Alexan Glenwood,62000.0,0.0,62000.0,8946.52,855.97,0.0,0.0,0.0,1176.37,4596.51,0.0,0.0,15575.37,46424.63,74.87843548387096,24305.36,639.25,245.07,0.0,33.6,25223.28,21201.35,21201.35,34.19572580645161,39.2021935483871,25.121564516129034,62000.0,15575.37,24305.36,884.3199999999999,0,1,0,1,2,1.560499686363791
